_1,_2,_3
28175,56938,1
924,56938,1
23204,23204,12
53950,3314,1
57091,57091,5
46230,46230,2
30931,30931,1
57186,57186,2
45264,57248,3
54586,50363,1
50363,50363,10
33202,50441,2
34269,56985,1
56985,56985,2
49852,57387,1
26394,54395,1
54713,14675,1
64648,37979,1
44139,57496,2
57496,57496,2
54395,25905,1
45264,57605,1
49542,45374,1
56227,56227,4
23305,56227,1
57786,23204,2
57330,57330,3
53793,17310,1
56981,40540,1
15828,56401,1
35644,57967,7
57967,57967,3
50534,50534,18
27983,57298,1
47832,56908,1
37793,37793,4
39338,50532,1
35644,57545,1
56354,56354,25
8560,57664,1
34269,39052,2
39052,39052,1
53950,58306,1
29587,58510,1
66839,58510,1
58538,46624,1
58488,58488,8
58629,45264,1
58687,29587,1
58743,29587,2
58736,14006,1
14006,14006,17
15569,58785,1
14006,54799,2
47166,47166,1
58617,58617,2
58679,58679,2
836,57082,2
57082,57082,2
58685,58951,1
58970,58970,1
57214,26394,1
58989,14006,1
32440,32440,4
50795,45264,2
59097,59097,2
56164,1330,2
52300,52300,11
57099,1330,1
14006,57731,1
57731,57731,5
43077,14006,1
836,14006,1
35644,59142,1
59151,35644,4
59162,59162,2
59210,59210,1
59085,59085,12
35644,18790,2
18790,18790,3
59085,59387,3
59387,59387,9
42953,18626,4
51007,51007,8
58685,51007,2
59343,59343,2
59563,59563,2
23159,59563,1
49704,49704,1
59345,59345,1
26562,59345,1
59171,59171,13
59601,52109,3
59385,1330,2
59425,59425,5
57493,57493,5
59696,59712,1
59025,59025,2
52109,59025,1
60021,33551,1
54944,46785,2
57233,1156,4
58006,46785,1
54118,52109,2
82971,23305,1
14372,14372,9
59550,59550,4
49375,49375,5
49831,49590,1
45821,29587,1
71940,29587,1
60522,29882,1
29882,29882,2
34153,57918,1
51939,54944,1
34153,34153,7
60742,60742,3
60623,60733,1
60733,60733,3
59085,54579,1
54579,54579,1
59085,60825,2
60825,60825,1
45264,60683,3
34269,58259,1
60051,45264,1
26019,60946,1
60992,29169,2
61102,61102,1
60989,23240,3
59174,59174,3
59171,59174,1
60955,41888,1
28175,31434,4
28175,25673,2
24180,60550,1
52719,52719,7
61261,8878,5
45264,24696,1
61435,27983,1
57416,61496,2
59909,59909,2
61530,61530,5
27432,24895,1
56339,836,1
61756,61756,13
57453,52106,1
52106,52106,2
57453,57453,25
58949,54944,1
9609,23240,1
51369,61895,1
61895,61895,2
21749,21749,7
49700,58837,2
58837,58837,1
59010,59010,5
62279,62279,1
62097,62097,8
61756,52426,3
52426,52426,3
33279,61936,1
13505,62358,2
57526,61900,1
62461,836,1
44456,62484,1
57130,62496,1
52799,54968,2
54968,54968,2
62565,54968,1
51878,62241,1
45264,62241,1
41209,41209,4
49752,49752,7
60954,60954,10
49375,57834,1
57834,57834,3
61601,61601,1
24478,45264,1
57526,21,1
62998,62998,1
63006,61936,1
19261,52799,3
52799,52799,1
67275,63282,1
62641,41557,1
23159,23159,38
35644,63462,1
50863,28175,1
60902,60902,6
49032,50833,1
63237,63701,1
50833,51714,2
59425,23159,4
63620,32926,1
32926,32926,8
74146,23159,1
63773,61062,3
60503,63618,1
63583,26562,2
63390,63390,1
57453,61756,3
32697,63856,1
63856,63856,2
63578,63871,1
63871,63871,3
63652,50833,1
64046,64189,1
21232,64188,1
10882,64106,1
64106,64106,1
60428,14675,1
64274,40558,1
63717,28175,5
10588,10588,4
64444,42275,1
29575,3085,1
37814,62641,1
63932,63932,5
13023,34153,1
29810,61418,1
64700,64700,1
53812,53812,11
61145,56947,1
64795,13023,1
35644,64889,1
64889,64889,2
8820,64889,1
63718,924,4
49700,44714,1
44714,44714,1
65081,50833,1
65162,65162,2
44456,44429,1
64760,63237,1
43476,43476,3
51262,18626,1
63871,59904,2
59904,59904,7
54044,63649,1
59916,59916,2
37657,9123,1
50519,65486,1
53812,65495,3
65495,65495,3
65573,64386,1
64469,64469,2
64533,57429,1
41487,29304,1
47208,29304,1
29304,29304,1
21,65721,1
15828,51541,1
61645,61645,14
31726,1330,2
46282,46785,1
65829,65819,1
52816,44456,1
59446,59446,4
38580,45374,3
28296,15927,1
75073,64485,1
50833,66172,1
64973,17640,1
33183,66379,1
43605,64553,1
57434,57434,2
35644,53812,1
45374,35597,1
66812,8820,4
60629,41771,1
41771,41771,54
2879,29752,1
53357,18501,1
67122,66759,1
59446,201,1
62616,67106,1
67200,53357,1
67154,63582,1
18626,23240,1
67396,41525,1
67483,23091,1
21257,924,1
67485,67483,1
49590,14070,2
58189,58189,2
50833,67336,1
67641,67641,1
201,67679,1
67679,67679,1
53812,61756,4
10640,52894,1
29169,67483,1
40137,40137,2
67483,67243,1
45264,67243,1
67774,67774,3
67908,67908,2
35644,67911,1
10640,67942,1
0,29169,3
47688,47688,2
23240,43317,1
43317,43317,1
68023,68021,1
41771,68075,1
68075,68075,1
58368,40051,1
66104,66104,11
8065,63582,1
23240,68254,3
68254,68254,2
38892,68254,1
30459,30459,3
50641,63565,1
68136,68136,3
67986,66104,2
68023,68495,1
68377,53479,1
55010,68507,1
60292,37814,1
66764,66764,1
0,24818,1
68421,924,3
68573,68573,1
46886,49466,1
23305,49226,1
49226,49226,2
55122,68564,1
60292,60292,4
68772,60292,1
39513,68589,1
8752,32288,1
61756,21329,1
65655,23091,1
65225,21519,1
50406,68949,1
43000,67537,3
67537,67537,24
41777,69060,1
68230,68230,26
69092,52546,1
14372,52546,1
69077,69002,1
69002,69002,1
55007,69082,1
69082,69082,1
67605,45385,1
35644,67537,1
55122,69249,2
69249,69249,2
69249,55122,1
54205,54205,2
29173,13736,1
28175,67328,1
69436,60240,1
471,65019,2
35644,65019,1
69501,69501,2
29169,1330,2
45264,58006,1
35644,69543,3
69543,69543,3
67757,23240,1
45374,54221,1
64596,64596,22
23240,69611,1
61756,64596,5
35644,69653,1
69629,60522,1
69686,69686,1
67611,67611,2
68980,68980,1
52291,69775,1
69614,69569,1
61417,55122,4
55122,55122,95
67328,28937,1
69471,69471,2
69818,67328,2
23305,69939,1
69939,69939,1
69939,23305,1
69958,50833,1
56922,67420,1
67420,67420,1
50406,70053,1
59615,18513,1
69343,69343,2
25529,25529,4
26394,16111,1
56922,16111,1
70222,16111,1
8752,16111,1
56256,50727,1
41771,69481,2
69481,69481,3
39830,39830,6
201,69845,1
69845,69845,2
65323,65323,13
45610,67328,3
35364,35364,4
70641,63654,1
70679,51714,4
69248,69248,7
67328,70776,1
51309,45264,1
70066,70066,44
59363,67412,1
71036,71036,1
59171,71036,2
29575,71070,1
54096,54096,12
71093,71093,2
70066,71288,2
71288,71288,1
70066,71297,2
71297,71297,19
71304,71304,4
65128,71304,1
70066,71304,1
69793,35679,1
70066,71316,1
43681,43681,2
71335,65593,3
71393,71393,1
52196,71393,1
69822,69670,1
71361,71218,2
27983,64025,1
69822,50406,1
54096,18098,1
67412,67125,1
68023,71218,1
5268,52291,2
71218,71218,32
71581,71581,2
66117,71218,2
71218,40048,2
40048,40048,1
71567,71567,1
67125,67412,1
74855,52089,1
91700,52089,1
18247,18247,6
43000,50534,1
10814,10814,23
31599,201,1
67328,71677,1
55122,71964,1
71964,71964,2
42522,45506,2
45506,45506,5
69089,53127,1
64596,73080,1
73080,73080,1
9091,44139,2
68023,73231,1
66974,71218,2
71301,71218,1
20971,64041,3
924,64041,2
73370,71587,2
71218,73428,1
73428,73428,1
47279,47279,1
55122,66117,3
66117,66117,9
50406,42044,1
73671,73671,2
33603,73671,1
73678,73678,1
18465,67349,2
67349,67349,2
67412,71896,1
68023,73724,1
73724,73724,2
53648,9085,1
66177,66177,2
56289,67733,1
21,46107,1
73298,836,1
74047,74047,1
52275,52275,1
55122,52275,1
74001,74001,1
42044,60379,1
18540,70118,1
70118,70118,1
77956,70118,1
51617,32926,2
74364,1330,1
74508,74508,1
50519,45182,1
71442,71442,106
74810,5268,1
46315,44256,1
67537,2459,2
2459,2459,19
53274,53274,3
74980,74980,1
75015,71442,2
10814,73086,1
74735,75051,1
61253,61253,3
29169,75169,1
1029,1029,25
71442,64138,4
64138,64138,11
69646,57453,1
52089,75333,1
69527,69527,1
75359,75359,1
56922,75359,1
35644,40137,1
52291,73907,1
56716,73907,3
73441,73907,1
75492,71218,1
10513,74735,2
75547,75547,2
73472,56922,1
20739,29587,1
75370,75534,1
28685,28685,3
23708,75181,1
44456,42204,1
71442,75841,2
75841,75841,1
66387,65131,1
65131,65131,136
68028,68028,1
71587,50406,2
64377,49268,1
76003,61634,3
61634,61634,8
64377,64377,282
69263,60954,1
76031,69263,2
69263,69263,3
71442,76074,2
